Price,Close,High,Low,Open,Volume
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
Date,,,,,
2023-12-01,322.4924621582031,326.632359514463,318.5851710579599,319.8410688171632,15105221
2023-12-04,329.9814758300781,334.91211505651387,326.2136975011813,326.6323490013426,22705896
2023-12-05,330.772216796875,331.6095197945736,325.6089997289424,330.91178622372587,15782945
2023-12-06,327.6091613769531,337.23789026688127,325.09733757361414,331.0047923869873,14817158
2023-12-07,327.4231262207031,329.144179690715,324.1205035383199,329.144179690715,8507659
2023-12-08,326.5393371582031,333.423636593909,322.7250543223439,327.46964866007835,13444251
2023-12-11,329.0046081542969,333.609660761791,326.5392887182125,326.5392887182125,11420609
2023-12-12,323.2832336425781,329.8884507131582,321.0969960246664,329.4697991981432,8789103
2023-12-13,321.1435241699219,325.4229341308856,319.7480569937331,325.05081522873905,8091533
2023-12-14,323.37628173828125,326.72540880257515,321.70170401070743,324.8647858102845,13142466
2023-12-15,325.6090087890625,329.6558692907542,324.1670373921948,325.6090087890625,14331890
2023-12-18,323.4227600097656,326.77188680537176,318.44558822651703,326.5393089499943,7959685
2023-12-19,341.3778076171875,343.9826683947347,322.3529265686966,322.3529265686966,28937243
2023-12-20,327.6091613769531,345.88977512980136,325.6089974990578,343.2849145061495,23224408
2023-12-21,330.7257385253906,331.9351321200561,321.9808160962796,326.6323736001529,10028664
2023-12-22,337.93560791015625,341.7963944489914,331.5629692954836,333.98178455539187,13916380
2023-12-26,340.54046630859375,345.8897566967193,337.23787229487357,338.4472657219359,11910267
2023-12-27,340.1218566894531,343.4709834388504,337.14484882535527,341.4242869834268,7890042
2023-12-28,354.40216064453125,355.8441320454988,340.30791936847845,341.2382308248066,28310022
2023-12-29,349.7970886230469,355.0998749930877,348.16904366270023,354.91380135556483,8859317
2024-01-01,355.1929016113281,359.84445887910795,351.1460695010416,351.47165579710423,11124690
2024-01-02,365.2867736816406,368.2637815844002,357.47216342546125,360.40263872267207,28363847
2024-01-03,357.751220703125,367.28691210504803,357.10001978823504,367.28691210504803,12903439
2024-01-04,357.93731689453125,362.63537818359003,357.14654651367005,360.77475535372895,11039940
