Price,Close,High,Low,Open,Volume
Ticker,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS
Date,,,,,
2023-05-02,286.8165283203125,289.1823783913663,286.63452703661744,287.90845271399184,407894
2023-05-03,286.0430908203125,287.8629927466138,283.9047005030085,287.8629927466138,466517
2023-05-04,284.49615478515625,288.13595853169784,283.4952032009576,287.1805211560302,404326
2023-05-05,283.44970703125,285.3150952795153,282.630756770292,284.81463338934594,348800
2023-05-08,285.22412109375,286.17955843222705,283.9046811791887,284.1321689044925,268684
2023-05-09,285.9065856933594,288.09046231325146,284.1321703193545,285.9065856933594,408045
2023-05-10,285.99755859375,287.089510788542,284.45065871554215,287.089510788542,214245
2023-05-11,285.45159912109375,286.6345241446858,284.86010883980094,285.9975474276767,146651
2023-05-12,282.40325927734375,284.8146235393526,281.4477941980216,284.8146235393526,339326
2023-05-15,281.8117980957031,284.359649446949,281.03833429530806,284.359649446949,308715
2023-05-16,282.5852355957031,284.6781392882114,282.0847737178735,283.17672588522544,242696
2023-05-17,284.22314453125,285.36058305765204,282.22124161698423,283.3586801433863,314221
2023-05-18,282.35772705078125,285.26958076930265,282.084752913824,284.4506305889357,303319
2023-05-19,280.5833740234375,284.086690647899,279.85539661980346,282.8582513419841,330855
2023-05-22,280.90185546875,282.9037307979619,280.26487872747936,282.0392940999492,330803
2023-05-23,279.8553771972656,282.0847679225164,279.4459159700438,280.35586683431,533927
2023-05-24,278.9454345703125,281.81180209299265,278.5359733309992,279.8553854614497,480513
2023-05-25,277.4440002441406,279.7188773005365,276.98902483286145,278.44495170285387,363830
2023-05-26,278.08099365234375,280.1283831262361,277.12552856949577,280.1283831262361,442425
2023-05-29,279.0819396972656,280.26486470673575,277.76249984328274,279.58240156215766,453398
2023-05-30,279.03643798828125,280.08287596959616,277.9445135697561,279.35492635724603,370133
2023-05-31,278.4449768066406,279.49141479302745,276.98904980538606,279.03643934072903,343628
2023-06-01,278.1264953613281,279.44593531364603,277.0800573488856,279.1274469352074,283062
2023-06-02,278.89996337890625,279.4914259365768,277.53503696759026,278.44498790846757,273163
2023-06-05,279.263916015625,281.9937686213877,277.98999035350175,278.30847871140674,421092
2023-06-06,279.4004211425781,281.53881137580817,278.80895859368434,280.26488563138344,255148
2023-06-07,277.9444885253906,281.9027523689417,277.6260001851234,281.9027523689417,710622
2023-06-08,276.80706787109375,278.89994378024295,276.261091791034,278.89994378024295,712681
2023-06-09,273.4857482910156,278.3995056613434,272.0753354192174,278.3995056613434,854118
2023-06-12,272.0298156738281,274.3956656504765,271.80232796303534,273.8952037945307,697003
2023-06-13,276.4885559082031,277.171019007646,272.57575080970037,272.7577520773496,984236
2023-06-14,274.941650390625,278.35396616024923,273.8952124418396,277.53501592943877,790046
2023-06-15,276.5340576171875,277.2620349585064,273.12174193146336,275.7605938411908,1066599
2023-06-16,277.080078125,281.62983310242197,276.53410197380924,277.44405296929364,803574
2023-06-19,279.4459533691406,279.7644417681574,277.0800752515166,278.58148882459517,661796
2023-06-20,280.3558654785156,280.5378389887909,278.4449631188984,279.4459146186499,485539
2023-06-21,280.17388916015625,280.90186657460407,278.0354988950579,280.62886463062404,488122
2023-06-22,282.7217712402344,283.40423445265577,279.30945517812745,280.9928422198342,655279
2023-06-23,280.6743469238281,285.3605881828729,280.2648579391706,285.3605881828729,333504
2023-06-26,279.3549499511719,281.12936546419917,276.6250970200529,280.6743899756794,577649
2023-06-27,277.76251220703125,279.8099017318988,277.53502448204597,279.4459269258219,362332
2023-06-28,279.263916015625,281.49330675146325,278.35396514703746,279.9463791670657,349310
2023-06-30,279.67340087890625,280.26486338084317,277.80798496418663,280.26486338084317,347574
2023-07-03,281.67529296875,282.0847819858835,280.44688145634535,281.1748310762517,329058
2023-07-04,282.7672424316406,284.6781448772745,282.08477925602125,282.72175599439845,388875
2023-07-05,283.44970703125,284.268657292208,282.53975612585276,284.268657292208,311186
2023-07-06,305.697998046875,307.88187452498585,287.54446754799284,287.54446754799284,6685794
2023-07-07,309.92926025390625,313.0230875419919,307.1538935427813,309.3832841984804,3390644
2023-07-10,298.327392578125,302.1036830625071,294.86956267655523,301.1937322099092,2648867
2023-07-11,301.14825439453125,303.01364258794956,298.3274011168401,300.2383035158888,1207370
2023-07-12,302.6951904296875,303.01367882920385,301.7397530006388,302.92267817655625,624584
2023-07-13,300.9207458496094,303.9235724335198,298.418381106519,303.3321099572338,1090510
2023-07-14,305.429443359375,305.8477875474901,301.2461149582695,303.80259342561175,563672
2023-07-17,301.1531677246094,304.87168177155,300.2700092904567,304.4533375932649,720807
2023-07-18,297.7599792480469,302.2686828751889,296.0866593969467,302.2686828751889,442325
2023-07-19,300.5024108886719,304.91814623815736,296.27261258611617,297.48111828112917,607414
2023-07-20,300.4094543457031,301.8038971432571,299.34038720824736,301.8038971432571,208681
2023-07-21,295.7613220214844,300.8278090442981,293.3907805308173,300.8278090442981,950300
2023-07-24,294.2738952636719,295.6218679592893,290.9737253813131,292.8329824125036,763349
2023-07-25,295.6683349609375,297.4811218954924,290.0440938481051,293.76260787179876,572162
