Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2023-09-12,4781.7373046875,4810.751496557536,4724.204890039225,4804.899158143312,305478
2023-09-13,4769.53662109375,4803.957073025788,4761.551711705975,4781.14249266659,207142
2023-09-14,4805.44482421875,4818.835990515985,4748.953747471366,4776.133242839408,249498
2023-09-15,5089.13916015625,5107.4900176677775,4853.5538272379945,4855.4384130323715,1689829
2023-09-18,5134.9169921875,5232.37492424777,5053.181378097015,5082.691540731042,804973
2023-09-20,5141.16650390625,5220.918241675379,5124.452247663501,5134.272339388029,622924
2023-09-21,5044.20458984375,5143.745205897568,5032.2020401326345,5126.336883323139,640829
2023-09-22,4960.732421875,5043.162584501644,4955.921909002794,5010.279929506988,498375
2023-09-25,4965.09765625,5019.356389546909,4952.599137055831,4959.6913988872675,539731
2023-09-26,5028.33349609375,5061.811411534945,4959.839870339747,4970.602497061663,450923
2023-09-27,4992.37548828125,5026.696162050033,4977.5458186587175,5024.365494788173,257406
2023-09-28,4966.23828125,5087.502735778139,4940.00132004973,5007.105847711053,580065
2023-09-29,5022.8779296875,5041.526175121678,4964.551669755031,4988.45747854145,248079
2023-10-03,4976.0087890625,5032.102702923681,4956.814687206033,5024.167196985698,464531
2023-10-04,4878.947265625,4978.736344150707,4863.522336203374,4970.850241822609,256544
2023-10-05,4970.65185546875,4998.67411036345,4885.395055519917,4895.215147091924,657876
2023-10-06,4974.17333984375,5078.723528104118,4957.21109994147,5078.723528104118,279352
2023-10-09,4966.93212890625,5027.837523993081,4917.087232612265,4917.087232612265,244083
2023-10-10,4996.888671875,5023.175034119106,4961.873447227384,4966.931944560768,307502
2023-10-11,5023.57177734375,5053.925183459795,5009.287963978796,5014.247655032241,575680
2023-10-12,5065.431640625,5109.473599241637,5010.379071267999,5044.005678925204,472168
2023-10-13,5011.66845703125,5082.14595663874,4999.368520239309,5048.916026990324,387366
2023-10-16,5035.77294921875,5058.289656179052,4991.4331170995865,4994.408931756045,158560
2023-10-17,5099.80224609375,5108.481705301787,5029.126649685449,5042.021846223104,318565
2023-10-18,5095.93408203125,5156.838993909779,5084.328210730676,5108.48200406547,360985
2023-10-19,5438.40087890625,5450.700816637151,5202.716248091329,5257.27285317141,2838352
2023-10-20,5445.04638671875,5465.579702023272,5393.068919815301,5406.0634076273745,763919
2023-10-23,5361.82275390625,5449.113317207433,5351.5560964672,5409.088513188435,451167
2023-10-25,5304.19091796875,5380.2233681140515,5289.3118450393085,5341.587181669341,620266
2023-10-26,5216.95068359375,5304.34054282698,5193.7888279142735,5290.850085366022,746266
2023-10-27,5330.2294921875,5379.975581992216,5222.554790854727,5222.554790854727,843465
2023-10-30,5266.1005859375,5354.234391421687,5232.473977999981,5344.562994021592,360967
2023-10-31,5271.208984375,5322.889061330657,5249.932200646778,5296.949974336531,400987
2023-11-01,5301.26513671875,5405.567343954155,5262.232270791228,5262.232270791228,619765
2023-11-02,5275.5244140625,5349.37441222261,5242.393772614476,5340.496370941639,304362
2023-11-03,5325.6669921875,5333.701304432697,5273.738928602724,5313.813136515391,448715
2023-11-06,5363.26123046875,5383.744657723596,5333.75106859546,5336.627592547757,394137
2023-11-07,5375.3134765625,5401.103871541393,5361.7237285472165,5363.261523470181,202689
2023-11-08,5354.0859375,5391.432315341969,5337.867650417915,5390.192392542801,202145
2023-11-09,5375.2138671875,5411.022933423393,5338.760137984327,5378.090391126404,232773
2023-11-10,5348.58056640625,5383.298405930188,5305.927220705413,5366.336648952952,149325
2023-11-13,5381.46337890625,5395.945289318659,5352.052023458654,5391.184179641268,93497
2023-11-15,5492.064453125,5510.216728537788,5417.073827961263,5480.458582389069,640468
2023-11-16,5506.14990234375,5538.288604583842,5452.635124681093,5475.499107469817,324712
2023-11-17,5586.10009765625,5629.200007143658,5435.176794035401,5512.101409419946,531539
2023-11-20,5604.599609375,5630.191905932377,5560.805634045764,5564.822790079128,679425
